Date,Country,Site,Species,Genotype,Condition,Temperature,Timepoint,PAM1,PAM2,PAM,sampleID,depth,,,,
20241211,MV,MarHE,Por,01,deep,38.5,420,0.032,,0.032,20241211_MV_MarHE_Por_01_38.5_420_deep,,,,,
20241211,MV,MarHE,Por,02,deep,38.5,420,0.089,,0.089,20241211_MV_MarHE_Por_02_38.5_420_deep,,,,,
20241211,MV,MarHE,Por,03,deep,38.5,420,0.005,,0.005,20241211_MV_MarHE_Por_03_38.5_420_deep,,,,,
20241211,MV,MarHE,Por,04,deep,38.5,420,0,,0,20241211_MV_MarHE_Por_04_38.5_420_deep,,,,,
20241211,MV,MarHE,Por,05,deep,38.5,420,0.019,,0.019,20241211_MV_MarHE_Por_05_38.5_420_deep,,,,,
20241211,MV,MarHE,Por,06,shallow,38.5,420,0.226,,0.226,20241211_MV_MarHE_Por_06_38.5_420_shallow,,,,,
20241211,MV,MarHE,Por,07,shallow,38.5,420,0.006,,0.006,20241211_MV_MarHE_Por_07_38.5_420_shallow,,,,,
20241211,MV,MarHE,Por,08,shallow,38.5,420,0.172,,0.172,20241211_MV_MarHE_Por_08_38.5_420_shallow,,,,,
20241211,MV,MarHE,Por,09,shallow,38.5,420,0.165,,0.165,20241211_MV_MarHE_Por_09_38.5_420_shallow,,,,,
20241211,MV,MarHE,Por,10,shallow,38.5,420,0,,0,20241211_MV_MarHE_Por_10_38.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,01,deep,35.5,420,0.427,0.289,0.289,20241211_MV_MarHE_Poc_01_35.5_420_deep,,,,,
20241211,MV,MarHE,Poc,02,deep,35.5,420,0.29,0.396,0.29,20241211_MV_MarHE_Poc_02_35.5_420_deep,,,,,
20241211,MV,MarHE,Poc,03,deep,35.5,420,0.608,0.567,0.567,20241211_MV_MarHE_Poc_03_35.5_420_deep,,,,,
20241211,MV,MarHE,Poc,04,deep,35.5,420,0.379,0.435,0.379,20241211_MV_MarHE_Poc_04_35.5_420_deep,,,,,
20241211,MV,MarHE,Poc,05,deep,35.5,420,0.428,0.257,0.257,20241211_MV_MarHE_Poc_05_35.5_420_deep,,,,,
20241211,MV,MarHE,Poc,06,shallow,35.5,420,0.55,0.447,0.447,20241211_MV_MarHE_Poc_06_35.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,07,shallow,35.5,420,0.381,0.526,0.381,20241211_MV_MarHE_Poc_07_35.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,08,shallow,35.5,420,0.565,0.539,0.539,20241211_MV_MarHE_Poc_08_35.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,09,shallow,35.5,420,0.365,0.322,0.322,20241211_MV_MarHE_Poc_09_35.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,10,shallow,35.5,420,0.611,0.592,0.592,20241211_MV_MarHE_Poc_10_35.5_420_shallow,,,,,
20241211,MV,MarHE,Por,01,deep,35.5,420,0.515,,0.515,20241211_MV_MarHE_Por_01_35.5_420_deep,,light 4,,,
20241211,MV,MarHE,Por,02,deep,35.5,420,0.543,,0.543,20241211_MV_MarHE_Por_02_35.5_420_deep,,,,,
20241211,MV,MarHE,Por,03,deep,35.5,420,0.505,,0.505,20241211_MV_MarHE_Por_03_35.5_420_deep,,,,,
20241211,MV,MarHE,Por,04,deep,35.5,420,0.459,0.493,0.459,20241211_MV_MarHE_Por_04_35.5_420_deep,,,,,
20241211,MV,MarHE,Por,05,deep,35.5,420,0.467,0.461,0.461,20241211_MV_MarHE_Por_05_35.5_420_deep,,,,,
20241211,MV,MarHE,Por,06,shallow,35.5,420,0.486,,0.486,20241211_MV_MarHE_Por_06_35.5_420_shallow,,,,,
20241211,MV,MarHE,Por,07,shallow,35.5,420,0.556,,0.556,20241211_MV_MarHE_Por_07_35.5_420_shallow,,,,,
20241211,MV,MarHE,Por,08,shallow,35.5,420,0.487,0.512,0.487,20241211_MV_MarHE_Por_08_35.5_420_shallow,,,,,
20241211,MV,MarHE,Por,09,shallow,35.5,420,0.56,,0.56,20241211_MV_MarHE_Por_09_35.5_420_shallow,,,,,
20241211,MV,MarHE,Por,10,shallow,35.5,420,0.596,,0.596,20241211_MV_MarHE_Por_10_35.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,01,deep,29.5,420,0.647,0.511,0.511,20241211_MV_MarHE_Poc_01_29.5_420_deep,,,,,
20241211,MV,MarHE,Poc,02,deep,29.5,420,0.656,0.634,0.634,20241211_MV_MarHE_Poc_02_29.5_420_deep,,,,,
20241211,MV,MarHE,Poc,03,deep,29.5,420,0.603,0.613,0.603,20241211_MV_MarHE_Poc_03_29.5_420_deep,,,,,
20241211,MV,MarHE,Poc,04,deep,29.5,420,0.652,0.613,0.613,20241211_MV_MarHE_Poc_04_29.5_420_deep,,,,,
20241211,MV,MarHE,Poc,05,deep,29.5,420,0.645,0.619,0.619,20241211_MV_MarHE_Poc_05_29.5_420_deep,,,,,
20241211,MV,MarHE,Poc,06,shallow,29.5,420,0.65,0.66,0.65,20241211_MV_MarHE_Poc_06_29.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,07,shallow,29.5,420,0.657,0.657,0.657,20241211_MV_MarHE_Poc_07_29.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,08,shallow,29.5,420,0.63,0.641,0.63,20241211_MV_MarHE_Poc_08_29.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,09,shallow,29.5,420,0.634,0.645,0.634,20241211_MV_MarHE_Poc_09_29.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,10,shallow,29.5,420,0.6,0.601,0.6,20241211_MV_MarHE_Poc_10_29.5_420_shallow,,,,,
20241211,MV,MarHE,Por,01,deep,29.5,420,0.562,,0.562,20241211_MV_MarHE_Por_01_29.5_420_deep,,,,,
20241211,MV,MarHE,Por,02,deep,29.5,420,0.59,,0.59,20241211_MV_MarHE_Por_02_29.5_420_deep,,,,,
20241211,MV,MarHE,Por,03,deep,29.5,420,0.59,,0.59,20241211_MV_MarHE_Por_03_29.5_420_deep,,,,,
20241211,MV,MarHE,Por,04,deep,29.5,420,0.544,,0.544,20241211_MV_MarHE_Por_04_29.5_420_deep,,,,,
20241211,MV,MarHE,Por,05,deep,29.5,420,0.568,,0.568,20241211_MV_MarHE_Por_05_29.5_420_deep,,,,,
20241211,MV,MarHE,Por,06,shallow,29.5,420,0.552,,0.552,20241211_MV_MarHE_Por_06_29.5_420_shallow,,,,,
20241211,MV,MarHE,Por,07,shallow,29.5,420,0.568,,0.568,20241211_MV_MarHE_Por_07_29.5_420_shallow,,,,,
20241211,MV,MarHE,Por,08,shallow,29.5,420,0.566,,0.566,20241211_MV_MarHE_Por_08_29.5_420_shallow,,,,,
20241211,MV,MarHE,Por,09,shallow,29.5,420,0.538,,0.538,20241211_MV_MarHE_Por_09_29.5_420_shallow,,,,,
20241211,MV,MarHE,Por,10,shallow,29.5,420,0.574,,0.574,20241211_MV_MarHE_Por_10_29.5_420_shallow,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,setting ,,,,,
