Date,Country,Site,Species,Genotype,Condition,Temperature,Timepoint,PAM1,PAM2,PAM,sampleID,depth,,,,
20241211,MV,MarHE,Poc,01,deep,41.5,420,0.116,0.002,0.002,20241211_MV_MarHE_Poc_01_41.5_420_deep,12,,,,
20241211,MV,MarHE,Poc,02,deep,41.5,420,0,0.008,0,20241211_MV_MarHE_Poc_02_41.5_420_deep,12,,,,
20241211,MV,MarHE,Poc,03,deep,41.5,420,0.009,0.003,0.003,20241211_MV_MarHE_Poc_03_41.5_420_deep,10.4,,,settings,light 2 gain 1
20241211,MV,MarHE,Poc,04,deep,41.5,420,0.039,0,0,20241211_MV_MarHE_Poc_04_41.5_420_deep,10,,,,
20241211,MV,MarHE,Poc,05,deep,41.5,420,0.011,0,0,20241211_MV_MarHE_Poc_05_41.5_420_deep,11.6,,,,
20241211,MV,MarHE,Poc,06,shallow,41.5,420,0,0,0,20241211_MV_MarHE_Poc_06_41.5_420_shallow,4,,light 7 only for poci 5.2 and 6.1 and 6.2,,
20241211,MV,MarHE,Poc,07,shallow,41.5,420,0,0.009,0,20241211_MV_MarHE_Poc_07_41.5_420_shallow,3.6,,,,
20241211,MV,MarHE,Poc,08,shallow,41.5,420,0,0.033,0,20241211_MV_MarHE_Poc_08_41.5_420_shallow,3.6,,,,
20241211,MV,MarHE,Poc,09,shallow,41.5,420,0.007,0.008,0.007,20241211_MV_MarHE_Poc_09_41.5_420_shallow,2.9,,,,
20241211,MV,MarHE,Poc,10,shallow,41.5,420,0,0,0,20241211_MV_MarHE_Poc_10_41.5_420_shallow,2.5,,,,
20241211,MV,MarHE,Por,01,deep,41.5,420,0.003,,0.003,20241211_MV_MarHE_Por_01_41.5_420_deep,10.4,,,,
20241211,MV,MarHE,Por,02,deep,41.5,420,0,,0,20241211_MV_MarHE_Por_02_41.5_420_deep,11,,,,
20241211,MV,MarHE,Por,03,deep,41.5,420,0,,0,20241211_MV_MarHE_Por_03_41.5_420_deep,9.6,,,,
20241211,MV,MarHE,Por,04,deep,41.5,420,0.013,,0.013,20241211_MV_MarHE_Por_04_41.5_420_deep,8.8,,,,
20241211,MV,MarHE,Por,05,deep,41.5,420,0,,0,20241211_MV_MarHE_Por_05_41.5_420_deep,9.4,,,,
20241211,MV,MarHE,Por,06,shallow,41.5,420,0.007,,0.007,20241211_MV_MarHE_Por_06_41.5_420_shallow,3.5,,,,
20241211,MV,MarHE,Por,07,shallow,41.5,420,0.009,,0.009,20241211_MV_MarHE_Por_07_41.5_420_shallow,2.4,,,,
20241211,MV,MarHE,Por,08,shallow,41.5,420,0,,0,20241211_MV_MarHE_Por_08_41.5_420_shallow,2.3,,,,
20241211,MV,MarHE,Por,09,shallow,41.5,420,0,,0,20241211_MV_MarHE_Por_09_41.5_420_shallow,2.5,,,,
20241211,MV,MarHE,Por,10,shallow,41.5,420,0,,0,20241211_MV_MarHE_Por_10_41.5_420_shallow,2.8,,,,
20241211,MV,MarHE,Poc,01,deep,38.5,420,0.054,0.019,0.019,20241211_MV_MarHE_Poc_01_38.5_420_deep,,,,,
20241211,MV,MarHE,Poc,02,deep,38.5,420,0.012,0.038,0.012,20241211_MV_MarHE_Poc_02_38.5_420_deep,,,,,
20241211,MV,MarHE,Poc,03,deep,38.5,420,0.28,0.028,0.028,20241211_MV_MarHE_Poc_03_38.5_420_deep,,,,,
20241211,MV,MarHE,Poc,04,deep,38.5,420,0.092,0.044,0.044,20241211_MV_MarHE_Poc_04_38.5_420_deep,,,,,
20241211,MV,MarHE,Poc,05,deep,38.5,420,0,0,0,20241211_MV_MarHE_Poc_05_38.5_420_deep,,,,,
20241211,MV,MarHE,Poc,06,shallow,38.5,420,0.098,0.101,0.098,20241211_MV_MarHE_Poc_06_38.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,07,shallow,38.5,420,0.047,0.025,0.025,20241211_MV_MarHE_Poc_07_38.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,08,shallow,38.5,420,0.047,0.072,0.047,20241211_MV_MarHE_Poc_08_38.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,09,shallow,38.5,420,0.03,0.04,0.03,20241211_MV_MarHE_Poc_09_38.5_420_shallow,,,,,
20241211,MV,MarHE,Poc,10,shallow,38.5,420,0.371,0.371,0.371,20241211_MV_MarHE_Poc_10_38.5_420_shallow,,,,,
