Date,Country,Site,Species,Genotype,Condition,Temperature,Timepoint,PAM1,PAM2,PAM,sampleID,depth,comment
20241212,MV,MarHE,Poc,01,deep,39.5,420,0.019,0,0,20241212_MV_MarHE_Poc_01_39.5_420_deep,11.1,
20241212,MV,MarHE,Poc,02,deep,39.5,420,0.005,0,0,20241212_MV_MarHE_Poc_02_39.5_420_deep,12.2,
20241212,MV,MarHE,Poc,03,deep,39.5,420,0,0.052,0,20241212_MV_MarHE_Poc_03_39.5_420_deep,12.1,
20241212,MV,MarHE,Poc,04,deep,39.5,420,0.05,0,0,20241212_MV_MarHE_Poc_04_39.5_420_deep,11.5,"light 7, gain 4"
20241212,MV,MarHE,Poc,05,deep,39.5,420,0,0.009,0,20241212_MV_MarHE_Poc_05_39.5_420_deep,10.7,
20241212,MV,MarHE,Poc,06,shallow,39.5,420,0.007,0,0,20241212_MV_MarHE_Poc_06_39.5_420_shallow,2.6,
20241212,MV,MarHE,Poc,07,shallow,39.5,420,0.007,0,0,20241212_MV_MarHE_Poc_07_39.5_420_shallow,2.5,
20241212,MV,MarHE,Poc,08,shallow,39.5,420,0.075,0.071,0.071,20241212_MV_MarHE_Poc_08_39.5_420_shallow,2.6,"gain 2, light 4"
20241212,MV,MarHE,Poc,09,shallow,39.5,420,0.006,0.021,0.006,20241212_MV_MarHE_Poc_09_39.5_420_shallow,1.9,
20241212,MV,MarHE,Poc,10,shallow,39.5,420,0.038,0,0,20241212_MV_MarHE_Poc_10_39.5_420_shallow,2.4,
20241212,MV,MarHE,Por,01,deep,39.5,420,0.031,,0.031,20241212_MV_MarHE_Por_01_39.5_420_deep,10.8,same as colony 2 yesterday
20241212,MV,MarHE,Por,02,deep,39.5,420,0.013,,0.013,20241212_MV_MarHE_Por_02_39.5_420_deep,10.5,same as colony 1 yesterday
20241212,MV,MarHE,Por,03,deep,39.5,420,0.008,0.014,0.008,20241212_MV_MarHE_Por_03_39.5_420_deep,11.2,
20241212,MV,MarHE,Por,04,deep,39.5,420,0.007,,0.007,20241212_MV_MarHE_Por_04_39.5_420_deep,8.5,
20241212,MV,MarHE,Por,05,deep,39.5,420,0,,0,20241212_MV_MarHE_Por_05_39.5_420_deep,11.5,
20241212,MV,MarHE,Por,06,shallow,39.5,420,0.045,,0.045,20241212_MV_MarHE_Por_06_39.5_420_shallow,3.8,
20241212,MV,MarHE,Por,07,shallow,39.5,420,0.012,,0.012,20241212_MV_MarHE_Por_07_39.5_420_shallow,2.9,
20241212,MV,MarHE,Por,08,shallow,39.5,420,0,,0,20241212_MV_MarHE_Por_08_39.5_420_shallow,2.2,
20241212,MV,MarHE,Por,09,shallow,39.5,420,0,,0,20241212_MV_MarHE_Por_09_39.5_420_shallow,2.4,
20241212,MV,MarHE,Por,10,shallow,39.5,420,0.027,,0.027,20241212_MV_MarHE_Por_10_39.5_420_shallow,2.9,
20241212,MV,MarHE,Poc,01,deep,37,420,0.155,0.218,0.155,20241212_MV_MarHE_Poc_01_37_420_deep,,
20241212,MV,MarHE,Poc,02,deep,37,420,0.194,0.274,0.194,20241212_MV_MarHE_Poc_02_37_420_deep,,
20241212,MV,MarHE,Poc,03,deep,37,420,0.077,0.146,0.077,20241212_MV_MarHE_Poc_03_37_420_deep,,
20241212,MV,MarHE,Poc,04,deep,37,420,0.408,0.572,0.408,20241212_MV_MarHE_Poc_04_37_420_deep,,
20241212,MV,MarHE,Poc,05,deep,37,420,0.227,0.167,0.167,20241212_MV_MarHE_Poc_05_37_420_deep,,
20241212,MV,MarHE,Poc,06,shallow,37,420,0.289,0.206,0.206,20241212_MV_MarHE_Poc_06_37_420_shallow,,
20241212,MV,MarHE,Poc,07,shallow,37,420,0.072,0.157,0.072,20241212_MV_MarHE_Poc_07_37_420_shallow,,light to 3; gain to 2
20241212,MV,MarHE,Poc,08,shallow,37,420,0.548,0.595,0.548,20241212_MV_MarHE_Poc_08_37_420_shallow,,2
20241212,MV,MarHE,Poc,09,shallow,37,420,0.146,0.234,0.146,20241212_MV_MarHE_Poc_09_37_420_shallow,,
20241212,MV,MarHE,Poc,10,shallow,37,420,0.314,0.303,0.303,20241212_MV_MarHE_Poc_10_37_420_shallow,,gain to 3
20241212,MV,MarHE,Por,01,deep,37,420,0.432,,0.432,20241212_MV_MarHE_Por_01_37_420_deep,,
