Date,Country,Site,Species,Genotype,Condition,Temperature,Timepoint,PAM1,PAM2,PAM,sampleID,depth,comment
20241214,MV,MarHE,Acr,03,deep,34,T1,0.679,,0.679,20241214_MV_MarHE_Acr_03_34_T1_deep,,
20241214,MV,MarHE,Acr,04,deep,34,T1,0.682,,0.682,20241214_MV_MarHE_Acr_04_34_T1_deep,,
20241214,MV,MarHE,Acr,05,deep,34,T1,0.638,,0.638,20241214_MV_MarHE_Acr_05_34_T1_deep,,
20241214,MV,MarHE,Acr,06,deep,34,T1,0.685,,0.685,20241214_MV_MarHE_Acr_06_34_T1_deep,,
20241214,MV,MarHE,Acr,07,deep,34,T1,0.66,,0.66,20241214_MV_MarHE_Acr_07_34_T1_deep,,
20241214,MV,MarHE,Acr,08,deep,34,T1,0.682,,0.682,20241214_MV_MarHE_Acr_08_34_T1_deep,,gain to 4
20241214,MV,MarHE,Acr,09,deep,34,T1,0.679,,0.679,20241214_MV_MarHE_Acr_09_34_T1_deep,,
20241214,MV,MarHE,Acr,10,deep,34,T1,0.685,,0.685,20241214_MV_MarHE_Acr_10_34_T1_deep,,
20241214,MV,MarHE,Dip,01,deep,34,T1,0.586,,0.586,20241214_MV_MarHE_Dip_01_34_T1_deep,,gain to 1
20241214,MV,MarHE,Dip,02,deep,34,T1,0.622,,0.622,20241214_MV_MarHE_Dip_02_34_T1_deep,,
20241214,MV,MarHE,Dip,03,deep,34,T1,0.593,,0.593,20241214_MV_MarHE_Dip_03_34_T1_deep,,
20241214,MV,MarHE,Dip,04,deep,34,T1,0.626,,0.626,20241214_MV_MarHE_Dip_04_34_T1_deep,,
20241214,MV,MarHE,Dip,05,deep,34,T1,0.603,,0.603,20241214_MV_MarHE_Dip_05_34_T1_deep,,
20241214,MV,MarHE,Dip,06,deep,34,T1,0.571,,0.571,20241214_MV_MarHE_Dip_06_34_T1_deep,,
20241214,MV,MarHE,Dip,07,deep,34,T1,0.607,,0.607,20241214_MV_MarHE_Dip_07_34_T1_deep,,
20241214,MV,MarHE,Dip,08,deep,34,T1,0.589,,0.589,20241214_MV_MarHE_Dip_08_34_T1_deep,,
20241214,MV,MarHE,Acr,01,deep,29.5,T1,0.711,,0.711,20241214_MV_MarHE_Acr_01_29.5_T1_deep,,gain to 3
20241214,MV,MarHE,Acr,02,deep,29.5,T1,0.637,,0.637,20241214_MV_MarHE_Acr_02_29.5_T1_deep,,
20241214,MV,MarHE,Acr,03,deep,29.5,T1,0.676,,0.676,20241214_MV_MarHE_Acr_03_29.5_T1_deep,,
20241214,MV,MarHE,Acr,04,deep,29.5,T1,0.655,,0.655,20241214_MV_MarHE_Acr_04_29.5_T1_deep,,
20241214,MV,MarHE,Acr,05,deep,29.5,T1,0.681,,0.681,20241214_MV_MarHE_Acr_05_29.5_T1_deep,,
20241214,MV,MarHE,Acr,06,deep,29.5,T1,0.66,,0.66,20241214_MV_MarHE_Acr_06_29.5_T1_deep,,
20241214,MV,MarHE,Acr,07,deep,29.5,T1,0.661,,0.661,20241214_MV_MarHE_Acr_07_29.5_T1_deep,,gain to 2
20241214,MV,MarHE,Acr,08,deep,29.5,T1,0.681,,0.681,20241214_MV_MarHE_Acr_08_29.5_T1_deep,,gain to 
20241214,MV,MarHE,Acr,09,deep,29.5,T1,0.671,,0.671,20241214_MV_MarHE_Acr_09_29.5_T1_deep,,
20241214,MV,MarHE,Acr,10,deep,29.5,T1,0.682,,0.682,20241214_MV_MarHE_Acr_10_29.5_T1_deep,,
20241214,MV,MarHE,Dip,01,deep,29.5,T1,0.685,,0.685,20241214_MV_MarHE_Dip_01_29.5_T1_deep,,
20241214,MV,MarHE,Dip,02,deep,29.5,T1,0.719,,0.719,20241214_MV_MarHE_Dip_02_29.5_T1_deep,,gain to 2
20241214,MV,MarHE,Dip,03,deep,29.5,T1,0.673,,0.673,20241214_MV_MarHE_Dip_03_29.5_T1_deep,,
20241214,MV,MarHE,Dip,04,deep,29.5,T1,0.746,0.637,0.746,20241214_MV_MarHE_Dip_04_29.5_T1_deep,,li
20241214,MV,MarHE,Dip,05,deep,29.5,T1,0.767,0.601,0.767,20241214_MV_MarHE_Dip_05_29.5_T1_deep,,
20241214,MV,MarHE,Dip,06,deep,29.5,T1,0.648,,0.648,20241214_MV_MarHE_Dip_06_29.5_T1_deep,,
20241214,MV,MarHE,Dip,07,deep,29.5,T1,0.582,0.487,0.582,20241214_MV_MarHE_Dip_07_29.5_T1_deep,,
20241214,MV,MarHE,Dip,08,deep,29.5,T1,0.659,,0.659,20241214_MV_MarHE_Dip_08_29.5_T1_deep,,
20241214,MV,MarHE,Acr,01,deep,39.5,T2,0.141,0.034,0.141,20241214_MV_MarHE_Acr_01_39.5_T2_deep,,
20241214,MV,MarHE,Acr,02,deep,39.5,T2,0.051,,0.051,20241214_MV_MarHE_Acr_02_39.5_T2_deep,,
20241214,MV,MarHE,Acr,03,deep,39.5,T2,0,,0,20241214_MV_MarHE_Acr_03_39.5_T2_deep,,
20241214,MV,MarHE,Acr,04,deep,39.5,T2,0.051,,0.051,20241214_MV_MarHE_Acr_04_39.5_T2_deep,,
20241214,MV,MarHE,Acr,05,deep,39.5,T2,0.124,,0.124,20241214_MV_MarHE_Acr_05_39.5_T2_deep,,
20241214,MV,MarHE,Acr,06,deep,39.5,T2,0,,0,20241214_MV_MarHE_Acr_06_39.5_T2_deep,,
20241214,MV,MarHE,Acr,07,deep,39.5,T2,0.078,,0.078,20241214_MV_MarHE_Acr_07_39.5_T2_deep,,
20241214,MV,MarHE,Acr,08,deep,39.5,T2,0,,0,20241214_MV_MarHE_Acr_08_39.5_T2_deep,,
20241214,MV,MarHE,Acr,09,deep,39.5,T2,0.043,,0.043,20241214_MV_MarHE_Acr_09_39.5_T2_deep,,
20241214,MV,MarHE,Acr,10,deep,39.5,T2,0,,0,20241214_MV_MarHE_Acr_10_39.5_T2_deep,,
20241214,MV,MarHE,Dip,01,deep,39.5,T2,0.012,,0.012,20241214_MV_MarHE_Dip_01_39.5_T2_deep,,
20241214,MV,MarHE,Dip,02,deep,39.5,T2,0.132,,0.132,20241214_MV_MarHE_Dip_02_39.5_T2_deep,,
20241214,MV,MarHE,Dip,03,deep,39.5,T2,0.019,,0.019,20241214_MV_MarHE_Dip_03_39.5_T2_deep,,
20241214,MV,MarHE,Dip,04,deep,39.5,T2,0.027,,0.027,20241214_MV_MarHE_Dip_04_39.5_T2_deep,,
20241214,MV,MarHE,Dip,05,deep,39.5,T2,0.023,,0.023,20241214_MV_MarHE_Dip_05_39.5_T2_deep,,
20241214,MV,MarHE,Dip,06,deep,39.5,T2,0.034,,0.034,20241214_MV_MarHE_Dip_06_39.5_T2_deep,,
20241214,MV,MarHE,Dip,07,deep,39.5,T2,0.032,,0.032,20241214_MV_MarHE_Dip_07_39.5_T2_deep,,
20241214,MV,MarHE,Dip,08,deep,39.5,T2,?,,NA,20241214_MV_MarHE_Dip_08_39.5_T2_deep,,
20241214,MV,MarHE,Acr,01,deep,37,T2,0.199,0.098,0.199,20241214_MV_MarHE_Acr_01_37_T2_deep,,"light to 12, gain 2"
20241214,MV,MarHE,Acr,02,deep,37,T2,0,,0,20241214_MV_MarHE_Acr_02_37_T2_deep,,
20241214,MV,MarHE,Acr,03,deep,37,T2,0,,0,20241214_MV_MarHE_Acr_03_37_T2_deep,,
20241214,MV,MarHE,Acr,04,deep,37,T2,0,,0,20241214_MV_MarHE_Acr_04_37_T2_deep,,
20241214,MV,MarHE,Acr,05,deep,37,T2,0,,0,20241214_MV_MarHE_Acr_05_37_T2_deep,,
20241214,MV,MarHE,Acr,06,deep,37,T2,0,,0,20241214_MV_MarHE_Acr_06_37_T2_deep,,
20241214,MV,MarHE,Acr,07,deep,37,T2,0.168,,0.168,20241214_MV_MarHE_Acr_07_37_T2_deep,,
20241214,MV,MarHE,Acr,08,deep,37,T2,0.312,,0.312,20241214_MV_MarHE_Acr_08_37_T2_deep,,
20241214,MV,MarHE,Acr,09,deep,37,T2,0.36,,0.36,20241214_MV_MarHE_Acr_09_37_T2_deep,,
20241214,MV,MarHE,Acr,10,deep,37,T2,0.552,0.313,0.552,20241214_MV_MarHE_Acr_10_37_T2_deep,,is white 
20241214,MV,MarHE,Dip,01,deep,37,T2,0.378,,0.378,20241214_MV_MarHE_Dip_01_37_T2_deep,,
20241214,MV,MarHE,Dip,02,deep,37,T2,0.401,,0.401,20241214_MV_MarHE_Dip_02_37_T2_deep,,
20241214,MV,MarHE,Dip,03,deep,37,T2,0.538,,0.538,20241214_MV_MarHE_Dip_03_37_T2_deep,,
20241214,MV,MarHE,Dip,04,deep,37,T2,0.574,,0.574,20241214_MV_MarHE_Dip_04_37_T2_deep,,gain 1
20241214,MV,MarHE,Dip,05,deep,37,T2,0.452,,0.452,20241214_MV_MarHE_Dip_05_37_T2_deep,,
20241214,MV,MarHE,Dip,06,deep,37,T2,0.344,,0.344,20241214_MV_MarHE_Dip_06_37_T2_deep,,
20241214,MV,MarHE,Dip,07,deep,37,T2,0.501,,0.501,20241214_MV_MarHE_Dip_07_37_T2_deep,,
20241214,MV,MarHE,Dip,08,deep,37,T2,0.484,,0.484,20241214_MV_MarHE_Dip_08_37_T2_deep,,
20241214,MV,MarHE,Acr,01,deep,34,T2,0,,0,20241214_MV_MarHE_Acr_01_34_T2_deep,,
20241214,MV,MarHE,Acr,02,deep,34,T2,0,,0,20241214_MV_MarHE_Acr_02_34_T2_deep,,
20241214,MV,MarHE,Acr,03,deep,34,T2,0,,0,20241214_MV_MarHE_Acr_03_34_T2_deep,,
20241214,MV,MarHE,Acr,04,deep,34,T2,0.904,,0.904,20241214_MV_MarHE_Acr_04_34_T2_deep,,is dead
20241214,MV,MarHE,Acr,05,deep,34,T2,0,,0,20241214_MV_MarHE_Acr_05_34_T2_deep,,
20241214,MV,MarHE,Acr,06,deep,34,T2,0,,0,20241214_MV_MarHE_Acr_06_34_T2_deep,,
20241214,MV,MarHE,Acr,07,deep,34,T2,0.923,,0.923,20241214_MV_MarHE_Acr_07_34_T2_deep,,is dead
20241214,MV,MarHE,Acr,08,deep,34,T2,0,,0,20241214_MV_MarHE_Acr_08_34_T2_deep,,
20241214,MV,MarHE,Acr,09,deep,34,T2,0,,0,20241214_MV_MarHE_Acr_09_34_T2_deep,,
20241214,MV,MarHE,Acr,10,deep,34,T2,0,,0,20241214_MV_MarHE_Acr_10_34_T2_deep,,
20241214,MV,MarHE,Dip,01,deep,34,T2,0.579,,0.579,20241214_MV_MarHE_Dip_01_34_T2_deep,,light 3 
20241214,MV,MarHE,Dip,02,deep,34,T2,0.611,,0.611,20241214_MV_MarHE_Dip_02_34_T2_deep,,gain 4; gain 2
20241214,MV,MarHE,Dip,03,deep,34,T2,0.581,,0.581,20241214_MV_MarHE_Dip_03_34_T2_deep,,
20241214,MV,MarHE,Dip,04,deep,34,T2,0.602,,0.602,20241214_MV_MarHE_Dip_04_34_T2_deep,,
20241214,MV,MarHE,Dip,05,deep,34,T2,0.596,,0.596,20241214_MV_MarHE_Dip_05_34_T2_deep,,
20241214,MV,MarHE,Dip,06,deep,34,T2,0.529,,0.529,20241214_MV_MarHE_Dip_06_34_T2_deep,,
20241214,MV,MarHE,Dip,07,deep,34,T2,0.584,,0.584,20241214_MV_MarHE_Dip_07_34_T2_deep,,
20241214,MV,MarHE,Dip,08,deep,34,T2,0.564,,0.564,20241214_MV_MarHE_Dip_08_34_T2_deep,,
20241214,MV,MarHE,Acr,01,deep,29.5,T2,0.605,,0.605,20241214_MV_MarHE_Acr_01_29.5_T2_deep,,gain 2
20241214,MV,MarHE,Acr,02,deep,29.5,T2,0.551,,0.551,20241214_MV_MarHE_Acr_02_29.5_T2_deep,,
20241214,MV,MarHE,Acr,03,deep,29.5,T2,0.516,,0.516,20241214_MV_MarHE_Acr_03_29.5_T2_deep,,
20241214,MV,MarHE,Acr,04,deep,29.5,T2,0.562,,0.562,20241214_MV_MarHE_Acr_04_29.5_T2_deep,,
20241214,MV,MarHE,Acr,05,deep,29.5,T2,0.598,,0.598,20241214_MV_MarHE_Acr_05_29.5_T2_deep,,
20241214,MV,MarHE,Acr,06,deep,29.5,T2,0.576,,0.576,20241214_MV_MarHE_Acr_06_29.5_T2_deep,,
20241214,MV,MarHE,Acr,07,deep,29.5,T2,0.59,,0.59,20241214_MV_MarHE_Acr_07_29.5_T2_deep,,
20241214,MV,MarHE,Acr,08,deep,29.5,T2,0.578,,0.578,20241214_MV_MarHE_Acr_08_29.5_T2_deep,,
20241214,MV,MarHE,Acr,09,deep,29.5,T2,0.588,,0.588,20241214_MV_MarHE_Acr_09_29.5_T2_deep,,
20241214,MV,MarHE,Acr,10,deep,29.5,T2,0.561,,0.561,20241214_MV_MarHE_Acr_10_29.5_T2_deep,,
20241214,MV,MarHE,Dip,01,deep,29.5,T2,0.553,,0.553,20241214_MV_MarHE_Dip_01_29.5_T2_deep,,
20241214,MV,MarHE,Dip,02,deep,29.5,T2,0.592,,0.592,20241214_MV_MarHE_Dip_02_29.5_T2_deep,,
20241214,MV,MarHE,Dip,03,deep,29.5,T2,0.579,,0.579,20241214_MV_MarHE_Dip_03_29.5_T2_deep,,
20241214,MV,MarHE,Dip,04,deep,29.5,T2,0.61,,0.61,20241214_MV_MarHE_Dip_04_29.5_T2_deep,,
20241214,MV,MarHE,Dip,05,deep,29.5,T2,0.601,,0.601,20241214_MV_MarHE_Dip_05_29.5_T2_deep,,
20241214,MV,MarHE,Dip,06,deep,29.5,T2,0.556,,0.556,20241214_MV_MarHE_Dip_06_29.5_T2_deep,,
20241214,MV,MarHE,Dip,07,deep,29.5,T2,0.474,,0.474,20241214_MV_MarHE_Dip_07_29.5_T2_deep,,
20241214,MV,MarHE,Dip,08,deep,29.5,T2,0.592,,0.592,20241214_MV_MarHE_Dip_08_29.5_T2_deep,,
