Date,Country,Site,Species,Genotype,Condition,Temperature,Timepoint,PAM1,PAM2,PAM,sampleID,depth,comment
20241214,MV,MarHE,Acr,01,deep,39.5,T1,0.059,,0.059,20241214_MV_MarHE_Acr_01_39.5_T1_deep,11.1,
20241214,MV,MarHE,Acr,02,deep,39.5,T1,0.053,,0.053,20241214_MV_MarHE_Acr_02_39.5_T1_deep,12.9,
20241214,MV,MarHE,Acr,03,deep,39.5,T1,0.046,,0.046,20241214_MV_MarHE_Acr_03_39.5_T1_deep,11.9,
20241214,MV,MarHE,Acr,04,deep,39.5,T1,0.067,,0.067,20241214_MV_MarHE_Acr_04_39.5_T1_deep,10,
20241214,MV,MarHE,Acr,05,deep,39.5,T1,0.014,,0.014,20241214_MV_MarHE_Acr_05_39.5_T1_deep,8.8,
20241214,MV,MarHE,Acr,06,deep,39.5,T1,0.023,,0.023,20241214_MV_MarHE_Acr_06_39.5_T1_deep,11.2,
20241214,MV,MarHE,Acr,07,deep,39.5,T1,0.14,,0.14,20241214_MV_MarHE_Acr_07_39.5_T1_deep,10,
20241214,MV,MarHE,Acr,08,deep,39.5,T1,0.154,,0.154,20241214_MV_MarHE_Acr_08_39.5_T1_deep,11.4,
20241214,MV,MarHE,Acr,09,deep,39.5,T1,0.076,,0.076,20241214_MV_MarHE_Acr_09_39.5_T1_deep,11.1,
20241214,MV,MarHE,Acr,10,deep,39.5,T1,0.12,,0.12,20241214_MV_MarHE_Acr_10_39.5_T1_deep,11.7,
20241214,MV,MarHE,Dip,01,deep,39.5,T1,0,,0,20241214_MV_MarHE_Dip_01_39.5_T1_deep,11.4,
20241214,MV,MarHE,Dip,02,deep,39.5,T1,0,,0,20241214_MV_MarHE_Dip_02_39.5_T1_deep,11.4,
20241214,MV,MarHE,Dip,03,deep,39.5,T1,0.07,,0.07,20241214_MV_MarHE_Dip_03_39.5_T1_deep,10.4,
20241214,MV,MarHE,Dip,04,deep,39.5,T1,0.086,,0.086,20241214_MV_MarHE_Dip_04_39.5_T1_deep,11.1,
20241214,MV,MarHE,Dip,05,deep,39.5,T1,0,,0,20241214_MV_MarHE_Dip_05_39.5_T1_deep,11.2,
20241214,MV,MarHE,Dip,06,deep,39.5,T1,0.045,,0.045,20241214_MV_MarHE_Dip_06_39.5_T1_deep,8.4,
20241214,MV,MarHE,Dip,07,deep,39.5,T1,0.077,,0.077,20241214_MV_MarHE_Dip_07_39.5_T1_deep,7.6,
20241214,MV,MarHE,Dip,08,deep,39.5,T1,?,,NA,20241214_MV_MarHE_Dip_08_39.5_T1_deep,10,Not collectedto decide what to do 
20241214,MV,MarHE,Acr,01,deep,37,T1,0.588,0.719,0.588,20241214_MV_MarHE_Acr_01_37_T1_deep,,light to 11 gain 3 for remesure
20241214,MV,MarHE,Acr,02,deep,37,T1,0,0,0,20241214_MV_MarHE_Acr_02_37_T1_deep,,
20241214,MV,MarHE,Acr,03,deep,37,T1,0,0,0,20241214_MV_MarHE_Acr_03_37_T1_deep,,
20241214,MV,MarHE,Acr,04,deep,37,T1,0,0,0,20241214_MV_MarHE_Acr_04_37_T1_deep,,
20241214,MV,MarHE,Acr,05,deep,37,T1,0,0.591,0,20241214_MV_MarHE_Acr_05_37_T1_deep,,
20241214,MV,MarHE,Acr,06,deep,37,T1,0,0.819,0,20241214_MV_MarHE_Acr_06_37_T1_deep,,
20241214,MV,MarHE,Acr,07,deep,37,T1,0.705,0.595,0.705,20241214_MV_MarHE_Acr_07_37_T1_deep,,
20241214,MV,MarHE,Acr,08,deep,37,T1,0.728,0.612,0.728,20241214_MV_MarHE_Acr_08_37_T1_deep,,
20241214,MV,MarHE,Acr,09,deep,37,T1,0.607,0.586,0.607,20241214_MV_MarHE_Acr_09_37_T1_deep,,light to 9
20241214,MV,MarHE,Acr,10,deep,37,T1,0.492,0.529,0.492,20241214_MV_MarHE_Acr_10_37_T1_deep,,
20241214,MV,MarHE,Dip,01,deep,37,T1,0.281,,0.281,20241214_MV_MarHE_Dip_01_37_T1_deep,,
20241214,MV,MarHE,Dip,02,deep,37,T1,0.373,,0.373,20241214_MV_MarHE_Dip_02_37_T1_deep,,
20241214,MV,MarHE,Dip,03,deep,37,T1,0.47,,0.47,20241214_MV_MarHE_Dip_03_37_T1_deep,,
20241214,MV,MarHE,Dip,04,deep,37,T1,0.477,,0.477,20241214_MV_MarHE_Dip_04_37_T1_deep,,
20241214,MV,MarHE,Dip,05,deep,37,T1,0.418,,0.418,20241214_MV_MarHE_Dip_05_37_T1_deep,,light from 3 to 1
20241214,MV,MarHE,Dip,06,deep,37,T1,0.281,,0.281,20241214_MV_MarHE_Dip_06_37_T1_deep,,
20241214,MV,MarHE,Dip,07,deep,37,T1,0.287,,0.287,20241214_MV_MarHE_Dip_07_37_T1_deep,,
20241214,MV,MarHE,Dip,08,deep,37,T1,0.358,,0.358,20241214_MV_MarHE_Dip_08_37_T1_deep,,
20241214,MV,MarHE,Acr,01,deep,34,T1,0.675,,0.675,20241214_MV_MarHE_Acr_01_34_T1_deep,,
20241214,MV,MarHE,Acr,02,deep,34,T1,0.621,,0.621,20241214_MV_MarHE_Acr_02_34_T1_deep,,
