"Site","Species","Timepoint","Mean_ED5","SD_ED5","SE_ED5","Conf_Int_5","Mean_ED50","SD_ED50","SE_ED50","Conf_Int_50","Mean_ED95","SD_ED95","SE_ED95","Conf_Int_95","Mean_DW","SD_DW","SE_DW","Conf_Int_DW","Mean_RTT","SD_RTT","SE_RTT","Conf_Int_RTT"
"MarHE","Dip","T1",34.44,1.06,0.19,0.39,37.16,0.43,0.08,0.16,40.11,1,0.18,0.37,5.67,1.88,0.34,0.69,7.66,0.43,0.08,0.16
"MarHE","Dip","T2",35.84,1.08,0.19,0.4,38.07,0.83,0.15,0.31,40.52,2.62,0.47,0.96,4.68,3.49,0.63,1.28,8.57,0.83,0.15,0.31
"MarHE","Poc","1080",34.76,0.97,0.15,0.31,36.15,0.74,0.12,0.24,37.6,0.74,0.12,0.24,2.84,0.91,0.14,0.29,6.65,0.74,0.12,0.24
"MarHE","Poc","420",35.32,1.21,0.19,0.39,36.66,0.74,0.12,0.24,38.07,0.82,0.13,0.26,2.75,1.47,0.23,0.47,7.16,0.74,0.12,0.24
"MarHE","Por","1080",36,0.31,0.05,0.1,37.44,0.27,0.04,0.09,38.95,0.44,0.07,0.14,2.95,0.53,0.08,0.17,7.94,0.27,0.04,0.09
"MarHE","Por","420",36.18,0.51,0.08,0.16,37.57,0.35,0.06,0.11,39.01,0.48,0.08,0.15,2.83,0.69,0.11,0.22,8.07,0.35,0.06,0.11
