Name,Date,County,Reef-site,Transect-number,Transect-meter,other,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,560,1356,Algae,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,455,1978,Algae,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,703,1956,Algae,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,771,2555,HS,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,445,2737,HS,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,386,2868,Unk,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,442,3126,Unk,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,797,1283,HS,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,840,1192,HS,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,1059,1722,Algae,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,908,1858,Algae,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,1048,2097,Algae,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,1051,2038,Algae,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,1019,2403,HS,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,1043,2347,HS,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,855,2759,HS,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,1215,1200,Unk,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
20241213_MV_coral-garden_deep_T1_0m_PC130496.JPG,2024-12-13,MV,Coral-Garden,T1,0m,deep,,3.090083,72.967917,10,Olympus TOUGH TG6,Ruiyuan_Liu,,,,,,1389,1053,Unk,MatthewsG,2024-12-13 11:14:21+00:00,,,,,,,,,,
