"","TAXA","MEAN","SE"
"1","ACSP",0.590909090909091,0.127250073489771
"2","Branching",1.70454545454545,0.276988382257161
"3","DHEL",0.0454545454545455,0.031765283723714
"4","Massives",2.59090909090909,0.414226630856288
"5","PLOB",0.886363636363636,0.239396504031721
"6","PVER",1.11363636363636,0.211247950791089
